id,uf,nome_uf,mesorregiao_geografica,nome_mesorregião,microrregiao_geografica,nome_microrregiao,municipio,codigo_municipio_completo,nome_municipio,distrito,codigo_de_distrito_completo,nome_distrito
8613,43,"Rio Grande do Sul",01,"Noroeste Rio-grandense",002,"Três Passos",02204,4302204,"Boa Vista do Buricá",05,430220405,"Boa Vista do Buricá"
8614,43,"Rio Grande do Sul",01,"Noroeste Rio-grandense",011,"Cruz Alta",02220,4302220,"Boa Vista do Cadeado",05,430222005,"Boa Vista do Cadeado"
8615,43,"Rio Grande do Sul",01,"Noroeste Rio-grandense",011,"Cruz Alta",02220,4302220,"Boa Vista do Cadeado",15,430222015,Cadeado
8616,43,"Rio Grande do Sul",01,"Noroeste Rio-grandense",011,"Cruz Alta",02220,4302220,"Boa Vista do Cadeado",20,430222020,Capela
8617,43,"Rio Grande do Sul",01,"Noroeste Rio-grandense",011,"Cruz Alta",02220,4302220,"Boa Vista do Cadeado",25,430222025,Faxinal
8618,43,"Rio Grande do Sul",01,"Noroeste Rio-grandense",011,"Cruz Alta",02220,4302220,"Boa Vista do Cadeado",30,430222030,Formigueiro
8619,43,"Rio Grande do Sul",01,"Noroeste Rio-grandense",011,"Cruz Alta",02220,4302220,"Boa Vista do Cadeado",40,430222040,"Ponte Queimada"
8620,43,"Rio Grande do Sul",01,"Noroeste Rio-grandense",011,"Cruz Alta",02220,4302220,"Boa Vista do Cadeado",45,430222045,"Rincão do Tigre"
8621,43,"Rio Grande do Sul",01,"Noroeste Rio-grandense",011,"Cruz Alta",02238,4302238,"Boa Vista do Incra",05,430223805,"Boa Vista do Incra"
8622,43,"Rio Grande do Sul",02,"Nordeste Rio-grandense",016,"Caxias do Sul",02253,4302253,"Boa Vista do Sul",05,430225305,"Boa Vista do Sul"
8623,43,"Rio Grande do Sul",02,"Nordeste Rio-grandense",015,Vacaria,02303,4302303,"Bom Jesus",05,430230305,"Bom Jesus"
8624,43,"Rio Grande do Sul",02,"Nordeste Rio-grandense",015,Vacaria,02303,4302303,"Bom Jesus",08,430230308,"Capão do Tigre"
8625,43,"Rio Grande do Sul",02,"Nordeste Rio-grandense",015,Vacaria,02303,4302303,"Bom Jesus",11,430230311,"Capela São Francisco"
8626,43,"Rio Grande do Sul",02,"Nordeste Rio-grandense",015,Vacaria,02303,4302303,"Bom Jesus",13,430230313,"Casa Branca"
8627,43,"Rio Grande do Sul",02,"Nordeste Rio-grandense",015,Vacaria,02303,4302303,"Bom Jesus",15,430230315,Itaimbezinho
8628,43,"Rio Grande do Sul",02,"Nordeste Rio-grandense",015,Vacaria,02303,4302303,"Bom Jesus",20,430230320,"Santo Inácio"
8629,43,"Rio Grande do Sul",05,"Metropolitana de Porto Alegre",023,Montenegro,02352,4302352,"Bom Princípio",05,430235205,"Bom Princípio"
8630,43,"Rio Grande do Sul",01,"Noroeste Rio-grandense",002,"Três Passos",02378,4302378,"Bom Progresso",05,430237805,"Bom Progresso"
8631,43,"Rio Grande do Sul",04,"Centro Oriental Rio-grandense",021,Lajeado-Estrela,02402,4302402,"Bom Retiro do Sul",05,430240205,"Bom Retiro do Sul"
8632,43,"Rio Grande do Sul",04,"Centro Oriental Rio-grandense",021,Lajeado-Estrela,02402,4302402,"Bom Retiro do Sul",15,430240215,Pinhal
8633,43,"Rio Grande do Sul",04,"Centro Oriental Rio-grandense",021,Lajeado-Estrela,02451,4302451,"Boqueirão do Leão",05,430245105,"Boqueirão do Leão"
